iter	Passed	Remaining
486	807	850
487	808	848
488	809	846
489	810	843
490	811	841
491	813	839
492	814	837
493	815	835
494	816	833
495	817	830
496	818	828
497	819	826
498	821	824
499	822	822
500	823	820
501	824	817
502	825	815
503	826	813
504	827	811
505	828	809
506	830	807
507	831	805
508	832	802
509	833	800
510	834	798
511	835	796
512	836	794
513	838	792
514	839	790
515	840	788
516	841	786
517	842	783
518	843	781
519	844	779
520	845	777
521	847	775
522	848	773
523	849	771
524	850	769
525	851	767
526	852	765
527	853	763
528	854	761
529	855	759
530	857	756
531	858	754
532	859	752
533	860	750
534	861	748
535	862	746
536	863	744
537	865	742
538	866	740
539	867	738
540	868	736
541	869	734
542	870	732
543	871	730
544	872	728
545	873	726
546	875	724
547	876	722
548	877	720
549	878	718
550	879	716
551	880	714
552	881	712
553	882	710
554	884	708
555	885	706
556	886	705
557	887	703
558	888	701
559	890	699
560	891	697
561	892	695
562	893	693
563	894	691
564	895	689
565	896	687
566	897	685
567	898	683
568	899	681
569	901	679
570	902	677
571	903	675
572	904	674
573	905	672
574	906	670
575	907	668
576	909	666
577	910	664
578	911	662
579	912	660
580	913	658
581	914	656
582	915	655
583	916	653
584	918	651
585	919	649
586	920	647
587	921	645
588	922	643
589	923	641
590	924	640
591	925	638
592	927	636
593	928	634
594	929	632
595	930	630
596	931	629
597	933	627
598	934	625
599	935	623
600	936	621
601	937	619
602	938	617
603	939	616
604	940	614
605	941	612
606	943	610
607	944	608
608	945	607
609	946	605
610	947	603
611	948	601
612	949	599
613	951	597
614	952	596
615	953	594
616	954	592
617	955	590
618	956	588
619	957	587
620	959	585
621	960	583
622	961	581
623	962	579
624	963	578
625	964	576
626	965	574
627	966	572
628	967	570
629	968	569
630	970	567
631	971	565
632	972	563
633	973	562
634	975	560
635	976	558
636	977	557
637	978	555
638	979	553
639	981	551
640	982	550
641	983	548
642	984	546
643	986	545
644	987	543
645	988	541
646	990	540
647	991	538
648	992	536
649	993	535
650	994	533
651	996	531
652	997	529
653	998	528
654	999	526
655	1001	525
656	1002	523
657	1003	521
658	1004	519
659	1005	518
660	1007	516
661	1008	514
662	1009	513
663	1010	511
664	1012	509
665	1013	508
666	1015	506
667	1017	505
668	1018	504
669	1020	502
670	1021	501
671	1023	499
672	1024	497
673	1025	496
674	1026	494
675	1028	492
676	1029	491
677	1030	489
678	1032	487
679	1033	486
680	1034	484
681	1035	482
682	1036	481
683	1038	479
684	1039	477
685	1040	476
686	1041	474
687	1042	472
688	1044	471
689	1045	469
690	1046	468
691	1047	466
692	1049	464
693	1050	463
694	1051	461
695	1052	459
696	1054	458
697	1055	456
698	1056	455
699	1057	453
700	1059	451
701	1060	450
702	1062	448
703	1063	447
704	1064	445
705	1065	443
706	1066	441
707	1067	440
708	1068	438
709	1069	436
710	1071	435
711	1072	433
712	1073	432
713	1075	430
714	1076	428
715	1077	427
716	1078	425
717	1079	424
718	1080	422
719	1081	420
720	1083	419
721	1084	417
722	1086	416
723	1087	414
724	1088	412
725	1089	411
726	1091	409
727	1092	408
728	1093	406
729	1094	404
730	1095	403
731	1096	401
732	1097	399
733	1099	398
734	1100	396
735	1101	395
736	1102	393
737	1103	391
738	1104	390
739	1106	388
740	1107	386
741	1108	385
742	1109	383
743	1110	382
744	1111	380
745	1112	378
746	1113	377
747	1115	375
748	1116	374
749	1117	372
750	1118	370
751	1119	369
752	1120	367
753	1121	366
754	1122	364
755	1124	362
756	1125	361
757	1126	359
758	1127	358
759	1128	356
760	1129	354
761	1131	353
762	1132	351
763	1133	350
764	1134	348
765	1135	346
766	1136	345
767	1137	343
768	1139	342
769	1140	340
770	1141	339
771	1143	337
772	1144	336
773	1145	334
774	1146	332
775	1147	331
776	1149	329
777	1150	328
778	1151	326
779	1152	325
780	1153	323
781	1154	321
782	1155	320
783	1157	318
784	1158	317
785	1159	315
786	1160	314
787	1161	312
788	1162	311
789	1164	309
790	1165	307
791	1166	306
792	1167	304
793	1168	303
794	1169	301
795	1170	300
796	1172	298
797	1173	296
798	1174	295
799	1175	293
800	1176	292
801	1177	290
802	1178	289
803	1179	287
804	1181	286
805	1182	284
806	1183	282
807	1184	281
808	1185	279
809	1186	278
810	1187	276
811	1189	275
812	1190	273
813	1191	272
814	1192	270
815	1193	269
816	1194	267
817	1195	266
818	1196	264
819	1197	262
820	1199	261
821	1200	259
822	1201	258
823	1202	256
824	1203	255
825	1204	253
826	1205	252
827	1206	250
828	1207	249
829	1208	247
830	1210	246
831	1211	244
832	1212	243
833	1213	241
834	1214	240
835	1215	238
836	1217	237
837	1218	235
838	1219	233
839	1220	232
840	1221	230
841	1222	229
842	1223	227
843	1225	226
844	1226	224
845	1227	223
846	1228	221
847	1229	220
848	1230	218
849	1231	217
850	1232	215
851	1234	214
852	1235	212
853	1236	211
854	1237	209
855	1238	208
856	1239	206
857	1241	205
858	1242	203
859	1243	202
860	1244	200
861	1245	199
862	1246	197
863	1247	196
864	1248	194
865	1249	193
866	1250	191
867	1252	190
868	1253	188
869	1254	187
870	1255	185
871	1256	184
872	1257	182
873	1258	181
874	1260	180
875	1261	178
876	1262	177
877	1263	175
878	1264	174
879	1265	172
880	1266	171
881	1267	169
882	1269	168
883	1270	166
884	1271	165
885	1272	163
886	1273	162
887	1274	160
888	1275	159
889	1276	157
890	1278	156
891	1279	154
892	1280	153
893	1281	151
894	1283	150
895	1284	149
896	1285	147
897	1286	146
898	1287	144
899	1288	143
900	1289	141
901	1290	140
902	1291	138
903	1293	137
904	1294	135
905	1295	134
906	1296	132
907	1297	131
908	1298	130
909	1300	128
910	1301	127
911	1302	125
912	1303	124
913	1304	122
914	1305	121
915	1306	119
916	1307	118
917	1308	116
918	1310	115
919	1311	114
920	1312	112
921	1313	111
922	1314	109
923	1315	108
924	1316	106
925	1318	105
926	1319	103
927	1320	102
928	1321	100
929	1322	99
930	1323	98
931	1324	96
932	1325	95
933	1327	93
934	1327	92
935	1329	90
936	1330	89
937	1331	87
938	1332	86
939	1333	85
940	1334	83
941	1335	82
942	1336	80
943	1337	79
944	1339	77
945	1340	76
946	1341	75
947	1342	73
948	1343	72
949	1344	70
950	1345	69
951	1347	67
952	1348	66
953	1349	65
954	1350	63
955	1351	62
956	1352	60
957	1353	59
958	1354	57
959	1356	56
960	1357	55
961	1358	53
962	1359	52
963	1360	50
964	1361	49
965	1362	47
966	1363	46
967	1365	45
968	1366	43
969	1367	42
970	1369	40
971	1370	39
972	1372	38
973	1373	36
974	1374	35
975	1376	33
976	1377	32
977	1378	31
978	1379	29
979	1380	28
980	1381	26
981	1382	25
982	1383	23
983	1385	22
984	1386	21
985	1387	19
986	1388	18
987	1389	16
988	1390	15
989	1391	14
990	1392	12
991	1394	11
992	1395	9
993	1396	8
994	1397	7
995	1398	5
996	1399	4
997	1400	2
998	1401	1
999	1403	0
